epShort,samplingStartDate,plot,treeTagNo,scientificName,dbh_in,ht_ft,htlc_ft,cbh_ft,status,crownScorch_%,maxScorchHt_ft,minBoleChar_ft,maxBoleChar_ft,burnSeverity
PRE,20-Sep-16,11,493,Pseudotsuga menziesii,2.2,18,8,4,L,100,18,3,9,3
PRE,12-Sep-16,15,103,Pseudotsuga menziesii,2.1,10,6,3,L,100,10,1,4,3
PRE,12-Sep-16,19,148,Pseudotsuga menziesii,2.1,13,4,3,L,100,13,4,6,3
PRE,17-Aug-16,13,470,Pseudotsuga menziesii,2.1,10,5,2.5,L,100,10,3,4,3
PRE,17-Aug-16,19,3661,Pseudotsuga menziesii,2.1,11,6,1.5,L,100,11,0.1,0.1,3
PRE,20-Sep-16,11,491,Pseudotsuga menziesii,2,16,11,6,L,100,16,5,7,3
PRE,10-Sep-16,5,924,Pinus ponderosa,2,10,5,5,L,100,10,3,6,3
PRE,12-Sep-16,17,115,Pinus ponderosa,1.9,11,6,6,L,100,11,3,10,3
PRE,20-Sep-16,17,175,Acer macrophyllum,1.8,20,6,3,L,100,20,1,2,3
PRE,12-Sep-16,5,30,Pseudotsuga menziesii,1.8,13,1,1,L,100,13,3,4,3
PRE,12-Sep-16,15,101,Abies grandis,1.8,7,3,2,L,100,7,1,3,3
PRE,10-Sep-16,1,909,Pseudotsuga menziesii,1.8,7,0,0,L,100,7,1,2,3
PRE,20-Sep-16,9,453,Abies grandis,1.7,9,4,1,L,100,9,0.1,9,3
PRE,20-Sep-16,13,2475,Abies grandis,1.7,9,5,1,L,100,9,9,9,5
PRE,12-Sep-16,11,51,Pinus ponderosa,1.7,8,1,1,L,100,8,0.1,3,3
PRE,12-Sep-16,17,136,Pseudotsuga menziesii,1.7,18,7,5,L,100,18,1,2,3
PRE,12-Sep-16,5,1352,Abies grandis,1.6,10,,5,D,100,10,2,3,3
PRE,12-Sep-16,17,131,Pseudotsuga menziesii,1.6,14,10,4,L,100,14,2,3,3
PRE,10-Sep-16,11,994,Pseudotsuga menziesii,1.6,12,1,0,L,100,12,1,2,3
PRE,20-Sep-16,5,413,Pseudotsuga menziesii,1.5,11,6,2,L,100,11,0.1,2,3
PRE,12-Sep-16,15,110,Abies grandis,1.5,10,5,1,L,100,10,0.1,1,3
PRE,12-Sep-16,15,107,Pseudotsuga menziesii,1.5,11,6,4,L,100,11,0.1,1,3
PRE,10-Sep-16,11,3546,Pinus contorta var. latifolia,1.5,11,1,1,L,100,11,0.1,0.1,3
PRE,12-Sep-16,5,33,Pseudotsuga menziesii,1.4,9,2,2,L,100,9,6,6,3
PRE,12-Sep-16,15,111,Pseudotsuga menziesii,1.4,12,7,6,L,100,12,3,4,3
PRE,10-Sep-16,1,903,Pseudotsuga menziesii,1.4,9,1,1,L,100,9,2,6,3
PRE,10-Sep-16,11,3541,Pinus contorta var. latifolia,1.4,11,1,1,L,100,11,0.1,1,3
PRE,10-Sep-16,11,3523,Pseudotsuga menziesii,1.4,8,1,1,L,100,8,1,1,3
PRE,10-Sep-16,15,3597,Pinus ponderosa,1.4,7,6,5,L,100,7,0.1,1,3
PRE,12-Sep-16,15,77,Pseudotsuga menziesii,1.3,10,5,1,L,100,10,0,0.1,3
PRE,20-Sep-16,11,2437,Pseudotsuga menziesii,1.2,9,7,5,L,100,9,2,5,3
PRE,12-Sep-16,15,75,Pseudotsuga menziesii,1.2,7,4,2,L,100,7,0,0.1,3
PRE,12-Sep-16,17,124,Pseudotsuga menziesii,1.2,21,12,5,L,100,21,2,5,3
PRE,10-Sep-16,7,941,Pseudotsuga menziesii,1.2,7,2,2,L,100,7,0.1,0.1,3
PRE,10-Sep-16,11,3538,Pinus contorta var. latifolia,1.2,9,1,1,L,100,9,0.1,0.1,3
PRE,10-Sep-16,11,3532,Pinus contorta var. latifolia,1.2,9,1,1,L,100,9,1,1,3
PRE,12-Sep-16,1,1336,Pseudotsuga menziesii,1.1,9,2,1,L,100,9,1,3,3
PRE,12-Sep-16,15,74,Pseudotsuga menziesii,1.1,8,3,2,L,100,8,0,0.1,3
PRE,10-Sep-16,15,3594,Pinus ponderosa,1.1,8,7,6,L,100,8,0.1,2,3
PRE,20-Sep-16,1,290,Pseudotsuga menziesii,1,10,1,1,L,100,10,2,3,3
PRE,12-Sep-16,11,50,Pinus ponderosa,1,7,2,1,L,100,7,0.1,3,3
PRE,12-Sep-16,15,78,Pseudotsuga menziesii,1,8,4,2,L,100,8,0.1,0.1,3
PRE,10-Sep-16,1,902,Pinus ponderosa,1,7,4,3,L,100,7,1,3,3
PRE,10-Sep-16,1,907,Pseudotsuga menziesii,1,7,0,0,L,100,7,4.5,6,4
PRE,10-Sep-16,7,950,Pinus contorta var. latifolia,1,8,1,0,L,100,8,0.1,0.1,3
PRE,10-Sep-16,11,3529,Pseudotsuga menziesii,1,7,1,1,L,100,7,0.1,0.1,3
PRE,10-Sep-16,11,3552,Pseudotsuga menziesii,1,8,1,1,L,100,8,0.1,1,3
PRE,10-Sep-16,17,1221,Pinus contorta var. latifolia,1,8,3,1,L,100,8,0.1,0.1,3
PRE,20-Sep-16,5,414,Pseudotsuga menziesii,0.9,7,3,3,L,100,7,0.1,2,4
PRE,20-Sep-16,7,431,Pseudotsuga menziesii,0.9,11,1,1,L,100,11,1,1,3
PRE,20-Sep-16,13,2477,Abies grandis,0.9,7,4,1,L,100,7,7,7,5
PRE,20-Sep-16,13,2473,Abies grandis,0.9,6,4,1,L,100,6,6,6,5
PRE,10-Sep-16,11,985,Pseudotsuga menziesii,0.9,9,1,0,L,100,9,1,1,4
PRE,23-Sep-16,17,143,Pinus contorta var. latifolia,0.8,7,1,1,L,100,7,0.5,3,3
PRE,23-Sep-16,17,145,Pinus ponderosa,0.8,6,1,1,L,100,6,1,2,3
PRE,12-Sep-16,5,22,Pseudotsuga menziesii,0.8,8,2,1,L,100,8,3,4,3
PRE,12-Sep-16,17,117,Pseudotsuga menziesii,0.8,8,2,2,L,100,8,0.1,1,3
PRE,10-Sep-16,7,948,Pinus contorta var. latifolia,0.8,8,3,1,L,100,8,1,1,3
PRE,10-Sep-16,7,947,Pinus contorta var. latifolia,0.8,8,2,1,L,100,8,0.1,1,3
PRE,10-Sep-16,7,943,Pseudotsuga menziesii,0.8,8,1,1,L,100,8,0.1,0.1,3
PRE,10-Sep-16,11,986,Pseudotsuga menziesii,0.8,7,2,1,L,100,7,4,4,4
PRE,10-Sep-16,11,989,Pseudotsuga menziesii,0.8,7,1,0,L,100,7,2,2,4
PRE,20-Sep-16,19,,Pseudotsuga menziesii,0.7,8,4,4,L,100,8,0.1,1,3
PRE,23-Sep-16,17,144,Pinus ponderosa,0.7,6,1,1,L,100,6,0.5,1.5,3
PRE,12-Sep-16,5,31,Pseudotsuga menziesii,0.7,8,1,1,L,100,8,3,8,4
PRE,12-Sep-16,15,96,Pseudotsuga menziesii,0.7,6,4,4,L,100,6,0.1,1,3
PRE,10-Sep-16,7,946,Pinus contorta var. latifolia,0.7,7,2,1,L,100,7,0.1,0.1,3
PRE,10-Sep-16,7,945,Pinus contorta var. latifolia,0.7,7,1,0,L,100,7,0.1,0.1,3
PRE,17-Aug-16,11,448,Pinus contorta var. latifolia,0.7,6.7,1,1,L,100,6.7,0.5,1,3
PRE,12-Sep-16,5,34,Pseudotsuga menziesii,0.6,7,2,1,L,100,7,2,3,3
PRE,12-Sep-16,15,55,Abies grandis,0.6,6,1,1,L,100,6,1,2,3
PRE,10-Sep-16,7,949,Pinus contorta var. latifolia,0.6,6,1,1,L,100,6,0.1,0.1,3
PRE,10-Sep-16,11,3539,Abies grandis,0.6,6,1,1,L,100,6,0.1,0.1,3
PRE,10-Sep-16,11,3524,Pseudotsuga menziesii,0.6,7,1,1,L,100,7,2,2,4
PRE,10-Sep-16,11,3537,Pseudotsuga menziesii,0.6,7,1,1,L,100,7,0.1,0.1,3
PRE,10-Sep-16,15,1203,Pinus ponderosa,0.6,5,4,3,L,100,5,0.1,0.1,3
PRE,12-Sep-16,1,1339,Pseudotsuga menziesii,0.5,7,2,1,L,100,7,1,3,3
PRE,10-Sep-16,1,901,Pinus ponderosa,0.5,5,2,2,L,100,5,1,3,3
PRE,10-Sep-16,7,942,Pinus contorta var. latifolia,0.5,6,1,1,L,100,6,0.1,0.1,3
PRE,10-Sep-16,7,944,Pinus contorta var. latifolia,0.5,6,1,0,L,100,6,0.1,0.1,3
PRE,10-Sep-16,11,3534,Pinus contorta var. latifolia,0.5,7,1,1,L,100,7,0.1,0.1,3
PRE,10-Sep-16,11,3531,Pinus contorta var. latifolia,0.5,5,1,1,L,100,5,1,1,4
PRE,10-Sep-16,15,3580,Pinus ponderosa,0.5,6,4,3,L,100,6,0.1,0.1,3
PRE,10-Sep-16,17,1216,Pinus contorta var. latifolia,0.5,6,1,1,L,100,6,0.1,0.1,3
PRE,10-Sep-16,7,951,Pinus contorta var. latifolia,0.4,6,2,1,L,100,6,0.1,0.1,3
PRE,10-Sep-16,11,3533,Pinus contorta var. latifolia,0.4,6,1,1,L,100,6,0.1,0.1,3
PRE,10-Sep-16,11,3540,Pseudotsuga menziesii,0.4,6,1,1,L,100,6,0.1,0.1,3
PRE,10-Sep-16,13,3576,Pinus ponderosa,0.4,5,0,4,L,100,5,0,0.1,3
PRE,10-Sep-16,17,1217,Pinus contorta var. latifolia,0.4,6,1,0,L,100,6,0.1,0.1,3
PRE,10-Sep-16,19,1281,Pseudotsuga menziesii,0.4,6,1,1,L,100,6,0.1,1,3
PRE,20-Sep-16,19,,Salix scouleriana,0.3,7,1,1,L,100,7,0.1,1,3
PRE,12-Sep-16,1,1338,Pseudotsuga menziesii,0.3,5,3,1,L,100,5,1,2,3
PRE,10-Sep-16,11,3544,Abies grandis,0.3,5,1,1,L,100,5,0.1,0.1,3
PRE,10-Sep-16,11,3535,Abies grandis,0.3,5,1,1,L,100,5,0.1,0.1,3
PRE,10-Sep-16,11,1000,Abies grandis,0.3,6,1,1,L,100,6,0.1,0.1,3
PRE,10-Sep-16,11,3550,Abies grandis,0.3,5,1,1,L,100,5,0.1,0.1,3
PRE,10-Sep-16,11,3521,Pinus contorta var. latifolia,0.3,6,1,1,L,100,6,0.1,0.1,3
PRE,10-Sep-16,11,3549,Pseudotsuga menziesii,0.3,6,1,1,L,100,6,0.1,0.1,3
PRE,10-Sep-16,11,992,Pseudotsuga menziesii,0.3,5,1,0,L,100,5,1,1,3
PRE,10-Sep-16,11,3543,Pseudotsuga menziesii,0.3,6,1,1,L,100,6,0.1,0.1,3
PRE,10-Sep-16,11,3545,Pseudotsuga menziesii,0.3,5,1,1,L,100,5,0.1,0.1,3
PRE,10-Sep-16,17,1225,Pinus contorta var. latifolia,0.3,5,2,1,L,100,5,0.1,1,3
PRE,23-Sep-16,9,542,Pinus ponderosa,0.2,4.5,1,1,L,100,4.5,0.5,0.5,3
PRE,10-Sep-16,15,3593,Pseudotsuga menziesii,0.2,5,1,1,L,100,5,0.1,0.1,3
PRE,10-Sep-16,1,904,Pinus ponderosa,25.8,104,46,26,L,99,100,5,18,2
PRE,20-Sep-16,7,424,Pseudotsuga menziesii,4.6,16,3,1,L,99,15,2,4,2
PRE,10-Sep-16,17,1240,Pseudotsuga menziesii,1.5,8,1,1,L,99,8,0.1,2,2
PRE,10-Sep-16,11,3522,Pseudotsuga menziesii,0.6,6,1,1,L,99,6,1,1,2
PRE,20-Sep-16,11,2431,Pseudotsuga menziesii,13.7,77,15,9,L,98,77,4,11,2
PRE,20-Sep-16,11,2451,Pseudotsuga menziesii,13.7,71,45,21,L,98,71,10,24,2
PRE,20-Sep-16,11,2450,Pseudotsuga menziesii,11.8,75,43,33,L,98,75,8,10,2
PRE,12-Sep-16,17,120,Pinus ponderosa,7.8,26,23,6,L,98,26,2,13,2
PRE,20-Sep-16,9,475,Pseudotsuga menziesii,6,24,16,6,L,98,24,6,15,2
PRE,20-Sep-16,13,2483,Pinus ponderosa,5.4,31,13,3,L,98,31,0.1,7,2
PRE,20-Sep-16,9,474,Pseudotsuga menziesii,5.2,34,19,5,L,98,34,5,23,2
PRE,12-Sep-16,15,104,Pseudotsuga menziesii,3.7,25,12,7,L,98,25,2,4,2
PRE,20-Sep-16,13,2467,Pseudotsuga menziesii,3.4,24,12,3,L,98,24,0.1,1,2
PRE,12-Sep-16,15,106,Abies grandis,3.1,16,6,6,L,98,16,1,4,2
PRE,12-Sep-16,17,116,Pinus ponderosa,2.8,24,9,6,L,98,24,3,12,2
PRE,12-Sep-16,15,95,Pseudotsuga menziesii,1.5,13,8,6,L,98,13,0.1,2,2
PRE,10-Sep-16,1,905,Pinus ponderosa,25.9,94,41,22,L,95,86,5,17,2
PRE,10-Sep-16,3,918,Pinus ponderosa,15.1,71,35,25,L,95,65,1,9,2
PRE,20-Sep-16,11,2429,Pseudotsuga menziesii,14.3,74,33,13,L,95,74,4,10,2
PRE,10-Sep-16,17,1210,Pinus ponderosa,11,48,15,9,L,95,46,7,17,2
PRE,20-Sep-16,11,2443,Pseudotsuga menziesii,9.1,70,25,25,L,95,70,3,9,2
PRE,20-Sep-16,17,173,Pseudotsuga menziesii,8.8,28,7,4,L,95,28,2,9,2
PRE,20-Sep-16,17,172,Pseudotsuga menziesii,8.6,27,8,2,L,95,27,4,11,2
PRE,12-Sep-16,5,32,Pinus ponderosa,7.7,51,24,17,L,95,47,3,19,2
PRE,10-Sep-16,17,1243,Pinus ponderosa,6.4,32,11,9,L,95,28,5,13,2
PRE,20-Sep-16,13,2470,Pinus ponderosa,6.2,31,12,2,L,95,26,0,0.1,2
PRE,23-Sep-16,3,504,Pinus ponderosa,5.8,24,5,2,L,95,24,0,0.5,2
PRE,23-Sep-16,1,514,Pinus ponderosa,5.7,34,13,1,L,95,34,1.5,6,2
PRE,10-Sep-16,5,928,Pseudotsuga menziesii,5.7,24,4,2,L,95,22,6,6,2
PRE,12-Sep-16,15,82,Pseudotsuga menziesii,4.7,31,12,9,L,95,31,0,0,2
PRE,20-Sep-16,5,411,Pseudotsuga menziesii,4.5,31,3,1,L,95,29,0.1,3,2
PRE,20-Sep-16,11,2446,Pseudotsuga menziesii,4.5,31,21,9,L,95,31,1,4,2
PRE,20-Sep-16,13,2455,Pinus ponderosa,4.2,26,14,5,L,95,25,0.1,1,2
PRE,20-Sep-16,11,2453,Pseudotsuga menziesii,4,34,23,5,L,95,34,9,16,2
PRE,20-Sep-16,7,427,Pseudotsuga menziesii,3.4,23,4,1,L,95,21,0.1,3,2
PRE,12-Sep-16,15,109,Pseudotsuga menziesii,3.4,27,8,8,L,95,24,2,5,2
PRE,12-Sep-16,5,35,Pinus ponderosa,3,31,8,5,L,95,31,7,15,2
PRE,10-Sep-16,15,3596,Pinus ponderosa,1.8,8,7,7,L,95,8,0.1,1,2
PRE,12-Sep-16,15,94,Pseudotsuga menziesii,1.7,15,8,8,L,95,14,0.1,0.1,2
PRE,12-Sep-16,15,63,Pseudotsuga menziesii,1,10,5,4,L,95,10,0.1,1,2
PRE,10-Sep-16,11,3554,Pinus contorta var. latifolia,0.6,6,1,1,L,95,5,0.1,0.1,2
PRE,10-Sep-16,17,1219,Pinus contorta var. latifolia,0.5,6,2,1,L,95,5,0.1,0.1,2
PRE,17-Aug-16,1,404,Pseudotsuga menziesii,0.5,6.4,3.5,1.5,L,95,6.4,0.1,0.5,2
PRE,10-Sep-16,13,3570,Pinus ponderosa,0.4,6,4,1,L,95,6,0.1,0.1,2
